2017-06-01 11:36:10.039246: 0
2017-06-01 11:36:31.872432: 5
2017-06-01 11:37:21.659168: 34hits!
2017-06-01 13:05:54.260678: 9 hits!
2017-06-01 13:07:15.969325: 23 hits!
2017-06-01 13:08:03.751736: 0 hits!
2017-06-01 13:10:32.304779: 2 hits!
2017-06-01 13:11:13.761638: 0 hits!
2017-06-01 13:12:38.927810: 0 hits!
2017-06-01 13:13:06.420096: 0 hits!
2017-06-01 13:13:17.241939: 0 hits!
2017-06-01 13:13:36.365401: 0 hits!
2017-06-01 13:13:49.617130: 0 hits!
2017-06-01 13:18:18.085948: 96 hits!
2017-06-01 13:20:10.273515: 10 hits!
